basic_gt,basic_pred,sub_gt,sub_pred,fine_gt,fine_pred
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,32,20,57
4,13,12,32,20,57
4,4,12,12,20,85
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,0,20,85
4,4,12,12,20,20
4,4,12,16,20,31
4,4,12,12,20,20
4,20,12,56,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,16,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,16,20,32
4,20,12,32,20,57
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,0,12,12,20,20
4,4,12,12,20,20
4,4,12,12,20,20
4,4,12,14,20,22
4,13,12,12,20,20
4,0,12,1,20,1
4,4,12,12,20,20
4,4,14,14,22,98
4,4,14,58,22,87
4,22,14,14,22,22
4,4,14,18,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,22,14,58,22,87
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,22,14,14,22,22
4,4,14,14,22,76
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,59,22,89
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,58,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,56,22,85
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,14,22,22
4,4,14,29,22,54
4,4,14,14,22,20
4,4,14,14,22,22
4,13,14,21,22,20
4,4,14,14,22,22
4,4,14,18,22,35
4,4,15,15,23,24
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,14,23,22
4,4,15,15,23,23
4,4,15,15,23,26
4,4,15,15,23,35
4,4,15,15,23,23
4,4,15,15,23,27
4,4,15,15,23,27
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,22,15,33,23,58
4,4,15,15,23,23
4,4,15,14,23,22
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,18,23,38
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,23,23
4,4,15,15,24,30
4,4,15,15,24,24
4,4,15,15,24,25
4,4,15,15,24,26
4,4,15,15,24,23
4,4,15,15,24,30
4,4,15,15,24,27
4,4,15,15,24,25
4,4,15,15,24,24
4,4,15,15,24,24
4,4,15,15,24,26
4,4,15,15,24,26
4,4,15,15,24,25
4,4,15,15,24,36
4,4,15,15,24,1
4,4,15,15,24,24
4,4,15,15,24,24
4,4,15,15,24,26
4,4,15,15,24,25
4,4,15,15,24,25
4,4,15,15,24,26
4,4,15,15,24,26
4,4,15,15,24,27
4,4,15,15,24,24
4,4,15,15,24,25
4,4,15,15,24,27
4,4,15,15,24,29
4,4,15,15,24,26
4,4,15,15,24,24
4,4,15,15,24,26
4,4,15,15,24,26
4,4,15,15,24,29
4,4,15,15,24,7
4,4,15,15,25,29
4,4,15,15,25,25
4,4,15,15,25,24
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,27
4,4,15,15,25,38
4,4,15,15,25,29
4,4,15,15,25,24
4,4,15,15,25,25
4,4,15,15,25,30
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,27
4,4,15,15,25,28
4,4,15,15,25,24
4,4,15,15,25,29
4,4,15,15,25,29
4,4,15,15,25,24
4,4,15,15,25,24
4,4,15,15,25,24
4,4,15,12,25,85
4,4,15,15,25,27
4,4,15,15,25,25
4,4,15,15,25,27
4,4,15,15,25,25
4,4,15,15,25,25
4,4,15,15,25,24
4,4,15,15,25,25
4,4,15,15,25,24
4,4,15,15,26,28
4,4,15,15,26,29
4,4,15,15,26,26
4,4,15,15,26,25
4,4,15,15,26,24
4,4,15,15,26,25
4,4,15,15,26,27
4,4,15,15,26,26
4,4,15,15,26,24
4,4,15,15,26,26
4,4,15,15,26,28
4,4,15,15,26,24
4,4,15,15,26,24
4,4,15,15,26,26
4,4,15,13,26,21
4,4,15,15,26,24
4,4,15,15,26,26
4,4,15,15,26,26
4,4,15,15,26,24
4,4,15,15,26,27
4,4,15,15,26,27
4,4,15,15,26,26
4,4,15,15,26,27
4,4,15,15,26,25
4,4,15,15,26,24
4,4,15,15,26,24
4,4,15,15,26,24
4,4,15,15,26,25
4,4,15,15,26,26
4,4,15,15,26,24
4,4,15,15,26,24
4,4,15,15,26,26
4,4,15,15,26,27
4,4,15,15,26,24
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
